Age,country_0,country_1,country_2,country_3,country_4,residence,entryEXAM,prevEducation,studyHOURS,Python,DB,Programming Average,isAdult,gender_F,gender_M
0.8557234184827736,0,0,0,0,1,0,-0.29039078322240924,3,2,-2.497046775401411,-0.854917133792938,-1.1576430097929,1,1,0
2.412963081068855,0,0,0,1,0,0,0.13726121720622048,1,2,-2.376272528098705,0.32692522351507347,-0.3847657402490856,1,0,1
-0.9934986808381984,0,0,0,1,1,1,-1.3289742128347957,0,0,-0.6854330658608144,-1.1503777231199408,-0.7896062147720361,1,0,1
-1.2854811175730887,0,0,1,0,0,1,-2.245371356610431,0,0,0.15998666525813077,-1.5049304303123443,-0.7528025352699497,0,1,0
-1.1881536386614586,0,0,1,0,1,1,-0.718042783651039,0,0,1.3677291382851953,0.6223858128420763,0.9401667218260249,0,1,0
-0.9934986808381984,0,0,1,1,0,2,-0.6569496407326633,0,0,1.005406396377076,-0.6185486623313357,0.056878413775951236,1,1,0
-0.7988437230149381,0,0,0,0,1,2,0.8092857893083529,2,2,0.03921241795542431,1.2723991093614826,0.9401667218260249,1,0,1
-0.604188765191678,0,0,1,1,1,2,0.7481926463899773,2,2,0.6430836544689565,-0.5594565444659351,-0.01672894522822157,1,0,1
-0.4095338073684177,0,0,0,0,1,2,0.6870995034716015,2,2,0.03921241795542431,1.1542148736306814,0.8665593628218521,1,0,1
-0.21487884954515754,0,1,0,0,0,2,0.5038200747164745,2,2,0.40153515986354366,1.2133069914960821,1.0137740808301978,1,1,0
-0.11755137063352744,0,1,0,0,1,2,-0.718042783651039,2,2,-0.08156182934728215,-0.6776407801967362,-0.3111583812449128,1,1,0
0.07710358718973276,0,0,0,0,1,0,-0.4125770690591606,1,2,0.03921241795542431,-0.854917133792938,-0.3847657402490856,1,1,0
0.27175854501299296,0,0,0,0,1,0,0.8703789322267286,1,2,0.6430836544689565,1.745136052284687,1.4186145553531482,1,0,1
0.46641350283625316,0,0,0,0,1,0,0.01507493136946913,1,1,-1.1685300550716402,0.38601734138047405,0.020074734273864834,1,1,0
0.6610684606595133,0,1,0,1,0,0,0.19835436012459617,2,2,-0.564658818558108,0.4451094592458746,0.24089681128638324,1,0,1
0.7583959395711435,0,0,0,0,1,0,0.2594475030429718,2,2,0.03921241795542431,0.7405700485728774,0.6089336063072472,1,1,0
0.9530508973944036,0,0,0,0,1,0,0.5038200747164745,2,2,0.8846321490743695,0.7405700485728774,0.8665593628218521,1,1,0
1.1477058552176638,0,0,0,0,1,0,0.5649132176348503,2,2,0.03921241795542431,0.5042015771112752,0.4617188882989017,1,1,0
1.2450333341292938,0,0,0,0,1,0,-0.10711135446728222,2,2,-0.44388457125540154,0.20874098778427233,0.13048577278012405,1,0,1
1.4396882919525542,0,0,0,0,1,0,1.1147515039002314,3,2,0.5223094071662502,1.2133069914960821,1.0505777603322841,1,1,0
-1.2854811175730887,0,0,0,0,1,2,-1.9399056420185525,0,0,0.15998666525813077,-2.3322200804279523,-3.0346306643993066,0,0,1
-1.0908261597498283,0,0,0,0,1,2,-1.634439927426674,0,0,0.15998666525813077,-1.1503777231199408,-2.4089681128638376,0,1,0
-0.8961712019265682,0,0,0,0,1,2,-1.3289742128347957,0,1,-2.2554982807959982,-0.7958250159275374,-1.047231971286641,1,1,0
-0.701516244103308,0,1,0,1,1,2,0.0761680742878448,2,2,0.03921241795542431,-0.854917133792938,-0.3847657402490856,1,1,0
-0.5068612862800478,0,0,0,0,1,2,0.3205406459613475,2,2,0.28076091256083724,-0.26399595513893226,0.056878413775951236,1,0,1
-0.31220632845678764,0,0,0,0,1,2,0.2594475030429718,2,2,0.6430836544689565,0.799662166438278,0.8297556833197657,1,0,1
-0.02022389172189734,0,0,0,0,1,2,0.9314720751451043,3,2,0.8846321490743695,1.095122755765281,1.0873814398343704,1,1,0
